
timestamp,cars_present,emergency_vehicle,scheduling_model
2025-09-24T04:57:59.474Z,39,1,Priority Scheduling
2025-09-24T04:58:04.517Z,36,1,Priority Scheduling
2025-09-24T04:58:09.520Z,38,1,Priority Scheduling
2025-09-24T04:58:14.529Z,39,1,Priority Scheduling
2025-09-24T04:58:19.570Z,39,1,Priority Scheduling
2025-09-24T04:58:24.602Z,40,1,Priority Scheduling
2025-09-24T04:58:29.630Z,36,1,Priority Scheduling
2025-09-24T04:58:34.659Z,36,1,Priority Scheduling
2025-09-24T04:58:39.697Z,35,1,Priority Scheduling
2025-09-24T04:58:44.730Z,38,1,Priority Scheduling
2025-09-24T04:58:49.778Z,40,1,Priority Scheduling
2025-09-24T04:58:54.785Z,40,1,Priority Scheduling
2025-09-24T04:58:59.800Z,40,1,Priority Scheduling
2025-09-24T04:59:04.834Z,38,1,Priority Scheduling
2025-09-24T04:59:09.869Z,36,1,Priority Scheduling
2025-09-24T04:59:14.922Z,35,1,Priority Scheduling
2025-09-24T04:59:19.949Z,37,1,Priority Scheduling
2025-09-24T04:59:24.964Z,39,1,Priority Scheduling
2025-09-24T04:59:30.000Z,38,1,Priority Scheduling
2025-09-24T04:59:35.049Z,39,1,Priority Scheduling
2025-09-24T04:59:40.092Z,39,1,Priority Scheduling
2025-09-24T04:59:45.124Z,38,1,Priority Scheduling
2025-09-24T04:59:50.136Z,36,1,Priority Scheduling
2025-09-24T04:59:55.138Z,35,1,Priority Scheduling
2025-09-24T05:00:00.151Z,36,1,Priority Scheduling
2025-09-24T05:00:05.164Z,37,1,Priority Scheduling
2025-09-24T05:00:10.226Z,39,1,Priority Scheduling
2025-09-24T05:00:15.267Z,40,1,Priority Scheduling
2025-09-24T05:00:20.317Z,40,1,Priority Scheduling
2025-09-24T05:00:25.364Z,36,1,Priority Scheduling
2025-09-24T05:00:30.418Z,37,1,Priority Scheduling
2025-09-24T05:00:35.432Z,38,1,Priority Scheduling
2025-09-24T05:00:40.482Z,39,1,Priority Scheduling
2025-09-24T05:00:45.523Z,38,1,Priority Scheduling
2025-09-24T05:00:50.583Z,38,1,Priority Scheduling
2025-09-24T05:00:55.610Z,39,1,Priority Scheduling
2025-09-24T05:01:00.634Z,39,1,Priority Scheduling
2025-09-24T05:01:05.669Z,36,1,Priority Scheduling
2025-09-24T05:01:10.691Z,36,1,Priority Scheduling
2025-09-24T05:01:15.745Z,36,1,Priority Scheduling
2025-09-24T05:01:20.783Z,37,1,Priority Scheduling
2025-09-24T05:01:25.803Z,37,1,Priority Scheduling
2025-09-24T05:01:30.866Z,38,1,Priority Scheduling
2025-09-24T05:01:35.877Z,38,1,Priority Scheduling
2025-09-24T05:01:40.902Z,39,1,Priority Scheduling
2025-09-24T05:01:45.942Z,39,1,Priority Scheduling
2025-09-24T05:01:50.965Z,38,1,Priority Scheduling
2025-09-24T05:01:56.033Z,37,1,Priority Scheduling
2025-09-24T05:02:01.045Z,39,1,Priority Scheduling
2025-09-24T05:02:06.053Z,39,1,Priority Scheduling
2025-09-24T05:02:11.079Z,38,1,Priority Scheduling
2025-09-24T05:02:16.093Z,38,1,Priority Scheduling
2025-09-24T05:02:21.107Z,39,1,Priority Scheduling
2025-09-24T05:02:26.158Z,37,1,Priority Scheduling
2025-09-24T05:02:31.198Z,38,1,Priority Scheduling
2025-09-24T05:02:36.271Z,38,1,Priority Scheduling
2025-09-24T05:02:41.335Z,38,1,Priority Scheduling
2025-09-24T05:02:46.388Z,40,1,Priority Scheduling
2025-09-24T05:02:51.422Z,40,1,Priority Scheduling
2025-09-24T05:02:56.460Z,38,1,Priority Scheduling
2025-09-24T05:03:01.512Z,38,1,Priority Scheduling
2025-09-24T05:03:06.550Z,35,1,Priority Scheduling
2025-09-24T05:03:11.552Z,37,1,Priority Scheduling
2025-09-24T05:03:16.570Z,39,1,Priority Scheduling
2025-09-24T05:03:21.603Z,40,1,Priority Scheduling
2025-09-24T05:03:26.665Z,40,1,Priority Scheduling
2025-09-24T05:03:32.246Z,39,1,Priority Scheduling
2025-09-24T05:03:37.270Z,39,1,Priority Scheduling
2025-09-24T05:03:42.283Z,37,1,Priority Scheduling
2025-09-24T05:03:47.351Z,40,1,Priority Scheduling
2025-09-24T05:03:52.360Z,40,1,Priority Scheduling
2025-09-24T05:03:57.371Z,40,1,Priority Scheduling
2025-09-24T05:04:02.375Z,40,1,Priority Scheduling
2025-09-24T05:04:07.373Z,40,1,Priority Scheduling
2025-09-24T05:04:12.387Z,40,1,Priority Scheduling
2025-09-24T05:04:17.426Z,40,1,Priority Scheduling
2025-09-24T05:04:22.465Z,38,1,Priority Scheduling
2025-09-24T05:04:27.474Z,38,1,Priority Scheduling
2025-09-24T05:04:32.501Z,39,1,Priority Scheduling
2025-09-24T05:04:37.513Z,39,1,Priority Scheduling
2025-09-24T05:04:42.576Z,36,1,Priority Scheduling
2025-09-24T05:04:47.631Z,37,1,Priority Scheduling
2025-09-24T05:04:52.651Z,37,1,Priority Scheduling
2025-09-24T05:04:57.711Z,37,1,Priority Scheduling
2025-09-24T05:05:02.749Z,37,1,Priority Scheduling
2025-09-24T05:05:07.771Z,37,1,Priority Scheduling
2025-09-24T05:05:12.788Z,37,1,Priority Scheduling
2025-09-24T05:05:17.802Z,35,1,Priority Scheduling
2025-09-24T05:05:22.856Z,37,1,Priority Scheduling
2025-09-24T05:05:27.919Z,37,1,Priority Scheduling
2025-09-24T05:05:32.993Z,37,1,Priority Scheduling
2025-09-24T05:05:38.066Z,37,1,Priority Scheduling
2025-09-24T05:05:43.088Z,37,1,Priority Scheduling
2025-09-24T05:05:48.127Z,38,1,Priority Scheduling
2025-09-24T05:05:53.201Z,39,1,Priority Scheduling
2025-09-24T05:05:58.200Z,38,1,Priority Scheduling
2025-09-24T05:06:03.216Z,38,1,Priority Scheduling
2025-09-24T05:06:08.216Z,39,1,Priority Scheduling
2025-09-24T05:06:13.265Z,39,1,Priority Scheduling
2025-09-24T05:06:18.341Z,40,1,Priority Scheduling
2025-09-24T05:06:23.399Z,40,1,Priority Scheduling
2025-09-24T05:06:28.466Z,38,1,Priority Scheduling
2025-09-24T05:06:33.486Z,38,1,Priority Scheduling
2025-09-24T05:06:38.500Z,39,1,Priority Scheduling
2025-09-24T05:06:43.506Z,40,1,Priority Scheduling
2025-09-24T05:06:48.546Z,38,1,Priority Scheduling
2025-09-24T05:06:53.591Z,38,1,Priority Scheduling
2025-09-24T05:06:58.606Z,37,1,Priority Scheduling
2025-09-24T05:07:03.646Z,37,1,Priority Scheduling
2025-09-24T05:07:08.704Z,36,1,Priority Scheduling
2025-09-24T05:07:13.719Z,38,1,Priority Scheduling
2025-09-24T05:07:18.736Z,39,1,Priority Scheduling
2025-09-24T05:07:23.809Z,37,1,Priority Scheduling
2025-09-24T05:07:28.817Z,37,1,Priority Scheduling
2025-09-24T05:07:33.847Z,38,1,Priority Scheduling
2025-09-24T05:07:38.872Z,38,1,Priority Scheduling
2025-09-24T05:07:43.930Z,39,1,Priority Scheduling
2025-09-24T05:07:48.963Z,40,1,Priority Scheduling
2025-09-24T05:07:54.011Z,40,1,Priority Scheduling
2025-09-24T05:07:59.043Z,39,1,Priority Scheduling
2025-09-24T05:08:04.056Z,40,1,Priority Scheduling
2025-09-24T05:08:09.113Z,40,1,Priority Scheduling
2025-09-24T05:08:14.156Z,37,1,Priority Scheduling
2025-09-24T05:08:19.192Z,39,1,Priority Scheduling
2025-09-24T05:08:24.236Z,39,1,Priority Scheduling
2025-09-24T05:08:29.313Z,37,1,Priority Scheduling
2025-09-24T05:08:34.330Z,37,1,Priority Scheduling
2025-09-24T05:08:39.379Z,39,1,Priority Scheduling
2025-09-24T05:08:44.386Z,39,1,Priority Scheduling
2025-09-24T05:08:49.463Z,40,1,Priority Scheduling
2025-09-24T05:08:54.513Z,40,1,Priority Scheduling
2025-09-24T05:08:59.570Z,38,1,Priority Scheduling
2025-09-24T05:09:04.645Z,38,1,Priority Scheduling
2025-09-24T05:09:09.710Z,37,1,Priority Scheduling
2025-09-24T05:09:14.784Z,38,1,Priority Scheduling
2025-09-24T05:09:19.785Z,40,1,Priority Scheduling
2025-09-24T05:09:24.823Z,40,1,Priority Scheduling
2025-09-24T05:09:29.869Z,40,1,Priority Scheduling
2025-09-24T05:09:34.949Z,39,1,Priority Scheduling
2025-09-24T05:09:39.959Z,39,1,Priority Scheduling
2025-09-24T05:09:44.970Z,40,1,Priority Scheduling
2025-09-24T05:09:50.013Z,40,1,Priority Scheduling
2025-09-24T05:09:55.084Z,39,1,Priority Scheduling
2025-09-24T05:10:00.096Z,39,1,Priority Scheduling
2025-09-24T05:10:05.126Z,40,1,Priority Scheduling
2025-09-24T05:10:10.191Z,40,1,Priority Scheduling
2025-09-24T05:10:15.221Z,40,1,Priority Scheduling
2025-09-24T05:10:20.264Z,40,1,Priority Scheduling
2025-09-24T05:10:25.304Z,40,1,Priority Scheduling
2025-09-24T05:10:30.388Z,40,1,Priority Scheduling
2025-09-24T05:10:35.463Z,40,1,Priority Scheduling
2025-09-24T05:10:40.546Z,40,1,Priority Scheduling
2025-09-24T05:10:45.606Z,40,1,Priority Scheduling
2025-09-24T05:10:50.608Z,40,1,Priority Scheduling
2025-09-24T05:10:55.627Z,40,1,Priority Scheduling
2025-09-24T05:11:00.683Z,39,1,Priority Scheduling
2025-09-24T05:11:05.743Z,37,1,Priority Scheduling
2025-09-24T05:11:10.831Z,35,1,Priority Scheduling
2025-09-24T05:11:15.835Z,36,1,Priority Scheduling
2025-09-24T05:11:20.842Z,39,1,Priority Scheduling
2025-09-24T05:11:25.861Z,39,1,Priority Scheduling
2025-09-24T05:11:30.861Z,39,1,Priority Scheduling
2025-09-24T05:11:35.928Z,39,1,Priority Scheduling
2025-09-24T05:11:40.993Z,39,1,Priority Scheduling
2025-09-24T05:11:46.051Z,39,1,Priority Scheduling
2025-09-24T05:11:51.059Z,40,1,Priority Scheduling
2025-09-24T05:11:56.107Z,40,1,Priority Scheduling
2025-09-24T05:12:01.167Z,40,1,Priority Scheduling
2025-09-24T05:12:06.174Z,40,1,Priority Scheduling
2025-09-24T05:12:11.235Z,40,1,Priority Scheduling
2025-09-24T05:12:16.294Z,38,1,Priority Scheduling
2025-09-24T05:12:21.306Z,39,1,Priority Scheduling
2025-09-24T05:12:26.341Z,40,1,Priority Scheduling
2025-09-24T05:12:31.382Z,36,1,Priority Scheduling
2025-09-24T05:12:36.781Z,38,1,Priority Scheduling
2025-09-24T05:15:26.933Z,36,1,Priority Scheduling
